Entity,Code,Year,Gini coefficient,Primary energy consumption per capita (kWh/person),GDP per capita,Human Development Index (UNDP),"Average Total Years of Schooling for Adult Population (Lee-Lee (2016), Barro-Lee (2018) and UNDP (2018))",Net imports (TWh),Oil production per capita (kWh),Urban population (% of total population),Renewables per capita (kWh - equivalent)
Australia,AUS,2001,0.334647977,68528.65625,37275.99219,0.9,11.9,0,20794.69727,84.09999847,2.652581055
Australia,AUS,2003,0.335005161,69346.26563,39523.65625,0.904,11.8,0,17496.31445,84.34300232,2.784230713
Australia,AUS,2004,0.330574095,70647.3125,40887.72656,0.907,11.8,0,15083.72461,84.46299744,2.851721436
Australia,AUS,2008,0.354285083,71804.07813,44421.64063,0.92,12.3,0,13393.15918,84.94300079,2.643342041
Australia,AUS,2010,0.346567276,68104.71094,45400.22266,0.923,12.4,0,12933.29785,85.18199921,2.937223389
Australia,AUS,2014,0.343994314,66238.42188,47867,0.933,12.7,0,9169.69043,85.60199738,3.960939941
Australia,AUS,2016,0.336858105,66190,48845,0.938,12.9,0,7358.868652,85.80000305,4.758515137
Austria,AUT,1994,0.313223423,44036.74219,28780.75977,0.813,8.8,-0.82,1743.337646,61.86999893,13.78187012
Austria,AUT,1995,0.310592689,45935.61719,29621.68164,0.817,8.9,-2.47,1887.57605,61.59600067,14.47703223
Austria,AUT,1997,0.302298534,46716.61719,31173.04883,0.824,8.9,-0.77,1564.273071,61.04499817,13.99791797
Austria,AUT,2000,0.288371061,48508.01953,34796.25781,0.838,9,-1.37,1578.493896,60.21300125,15.98545801
Austria,AUT,2003,0.294660779,50178.69922,36063.12109,0.842,9.6,5.61,1579.755615,59.375,12.61518359
Austria,AUT,2004,0.297889898,50855.55078,36957.11328,0.849,9.8,3.08,1589.101196,59.09400177,14.05331348
Austria,AUT,2005,0.287154333,51512.47656,37642.76172,0.855,9.9,2.62,1423.785034,58.81299973,14.39663477
Austria,AUT,2006,0.295875829,50780.26563,38866.84766,0.861,10.1,6.34,1468.512573,58.5320015,14.51869238
Austria,AUT,2007,0.305799959,49533.32422,40305.27344,0.881,11.6,6.02,1499.765015,58.24900055,15.34572559
Austria,AUT,2008,0.304373858,50326.61719,40964.79297,0.884,11.5,4.86,1465.447388,57.9659996,15.77511914
Austria,AUT,2009,0.314962324,48583.73047,39463.65625,0.886,11.7,0.78,1469.535645,57.68299866,16.67515625
Austria,AUT,2010,0.302522631,49949.62109,40288.34766,0.895,11.8,2.44,1504.638672,57.39899826,15.78689941
Austria,AUT,2011,0.308016687,46531.44531,41446,0.897,11.8,8.2,1562.371704,57.11500168,14.29482813
Austria,AUT,2012,0.304763178,48707.64063,41565,0.899,11.8,2.8,1505.45105,57.14699936,17.50033594
Austria,AUT,2013,0.307531331,48070.70313,41375,0.897,11.9,7.27,1270.666016,57.33599854,16.9529375
Austria,AUT,2014,0.305356828,45829.26563,41338,0.901,12.1,9.27,1337.601074,57.52600098,16.79198047
Austria,AUT,2015,0.30532775,45546.71094,41294,0.903,12.1,10.06,1277.762573,57.71500015,15.92498828
Austria,AUT,2016,0.30797074,46702.40234,41445,0.906,12.1,7.16,1120.278564,57.90499878,16.65027148
Azerbaijan,AZE,2001,0.364549364,15481.16699,4498.794434,0.648,10.6,0.23,21251.61523,51.5870018,0.466258942
Azerbaijan,AZE,2002,0.252776662,15153.92188,4880.399902,0.657,10.6,1.48,21545.61133,51.78699875,0.712335327
Azerbaijan,AZE,2003,0.268328779,16231.97949,5408.522949,0.666,10.6,1.63,21389.41602,51.98799896,0.856708069
Azerbaijan,AZE,2004,0.266215925,18215.0625,5971.474609,0.674,10.6,1.37,21279.38086,52.18899918,0.939638916
Azerbaijan,AZE,2005,0.265549077,19539.17383,7553.626465,0.679,10.7,1.2,30256.81445,52.38899994,1.009199036
Bangladesh,BGD,2000,0.334065309,1066.294189,1485.309204,0.468,4.1,0,12.85875607,23.59000015,0.017349382
Bangladesh,BGD,2005,0.332012921,1364.82312,1925.606201,0.505,4.5,0,27.38490486,26.80900002,0.015495461
Bangladesh,BGD,2010,0.321303194,1697.713623,2599.208496,0.545,4.9,0,21.59936714,30.46199989,0.014683408
Bangladesh,BGD,2016,0.323852725,2339.986328,3604,0.597,5.2,3.82,16.29607582,35.08300018,0.018862574
Belarus,BLR,2000,0.311674836,25837.69336,9110.979492,0.683,8.9,7.24,2366.077637,69.97299957,0.008087679
Belarus,BLR,2001,0.305767237,25272.6543,9462.374023,0.689,9,4.6,2374.099609,70.45800018,0.008982778
Belarus,BLR,2002,0.303362442,26321.35938,9870.308594,0.696,9.1,4.89,2358.19165,70.93900299,0.008685276
Belarus,BLR,2003,0.288210118,26302.32813,10492.9873,0.705,9.1,5.01,2367.491699,71.41500092,0.008389465
Belarus,BLR,2004,0.264798851,29644.55273,11615.68555,0.715,9.2,3.25,2385.057129,71.88700104,0.010191837
Belarus,BLR,2005,0.275534107,29716.36328,12629.55762,0.725,9.3,4.04,2304.324707,72.35399628,0.011079582
Belarus,BLR,2006,0.28275443,31748.4668,13792.55371,0.741,10,4.36,2315.268799,72.81600189,0.01143351
Belarus,BLR,2007,0.296123799,31092.60742,14856.95605,0.757,10.6,4.34,2324.150635,73.27300262,0.015451781
Belarus,BLR,2008,0.278260446,31594.68164,16223.99707,0.774,11.3,1.84,2337.337402,73.72599792,0.023034369
Belarus,BLR,2009,0.276893063,29954.17969,16088.72461,0.784,11.9,4.47,2202.342773,74.17199707,0.033923916
Belarus,BLR,2010,0.285665998,32508.45313,17172.46094,0.792,12,2.7,2004.802368,74.67199707,0.042016685
Belarus,BLR,2011,0.271525517,31940.81641,17918,0.798,12,5.59,2005.922363,75.18800354,0.045686291
Belarus,BLR,2012,0.26526199,34543.48047,18251,0.803,12,7.6,2011.048584,75.6969986,0.054913548
Belarus,BLR,2013,0.265750525,31285.87891,18464,0.804,12,6.37,2004.17981,76.1989975,0.070118637
Belarus,BLR,2014,0.271766668,31271.41992,18822,0.807,12.1,3.32,2002.428833,76.69300079,0.064653015
Belarus,BLR,2015,0.256332263,28288.82813,18136,0.805,12.2,2.62,1739.690308,77.18099976,0.077151222
Belarus,BLR,2016,0.253066162,28885.49414,17628,0.805,12.3,3.02,2183.179688,77.66100311,0.100070885
Belgium,BEL,1992,0.249518773,63653.80469,28199.57422,0.825,9.5,0.13,0,96.54199982,0.187263809
Belgium,BEL,1995,0.284122689,65982.69531,29370.08789,0.852,9.7,4.07,0,96.77700043,0.201326309
Belgium,BEL,1997,0.268325629,70547.44531,30894.2832,0.862,9.8,3.27,0,96.9240036,0.176393036
Belgium,BEL,2000,0.331375589,72295.77344,33719.76953,0.873,10,4.33,0,97.1289978,0.313235199
Belgium,BEL,2003,0.281439485,73105.75781,34588.47656,0.882,10.4,6.41,0,97.29599762,0.355816315
Belgium,BEL,2004,0.30541503,72959.09375,35740.35156,0.885,10.5,7.78,0,97.34999847,0.44235022
Belgium,BEL,2005,0.293373291,71691.10938,36338.38281,0.889,10.7,6.3,0,97.40299988,0.621332642
Belgium,BEL,2006,0.280544964,71400.9375,37051.90234,0.896,11.1,10.16,0,97.45400238,0.863626465
Belgium,BEL,2007,0.292379744,71368.41406,38082.875,0.899,11.1,6.78,0,97.50499725,1.010042847
Belgium,BEL,2008,0.283740114,71968.73438,38117.34766,0.899,11,10.6,0,97.55500031,1.269811768
Belgium,BEL,2009,0.285513502,66802.71875,36998.64844,0.899,11.1,-1.84,0,97.60299683,1.684386963
Belgium,BEL,2010,0.283751912,70688.28125,37739.32813,0.903,11.1,0.55,0,97.65100098,2.191019287
Belgium,BEL,2011,0.280606956,65610.67969,38130,0.904,11.2,2.54,0,97.69799805,2.654602295
Belgium,BEL,2012,0.274910949,62501.61719,37906,0.905,11.2,9.94,0,97.7440033,3.162628662
Belgium,BEL,2013,0.276692012,63833.61719,37737,0.908,11.4,9.64,0,97.78900146,3.435921143
Belgium,BEL,2014,0.281341459,58982.37891,38228,0.909,11.5,17.6,0,97.83300018,3.569125977
Belgium,BEL,2015,0.277294625,59436.82813,38569,0.913,11.7,21,0,97.87599945,3.959334473
Belgium,BEL,2016,0.275809819,63713.29688,38766,0.915,11.8,6.18,0,97.91899872,4.050543457
Brazil,BRA,2001,0.584133277,12646.45215,9953.30957,0.691,5.8,37.85,4609.252441,81.5530014,4.946231934
Brazil,BRA,2002,0.581136431,12797.21289,10245.06934,0.698,6,36.56,5091.947266,81.87999725,5.215715332
Brazil,BRA,2003,0.575627919,12872.82031,10354.5957,0.695,6.2,38.19,5214.361816,82.20300293,5.44315918
Brazil,BRA,2004,0.564787516,13328.23633,10949.66016,0.698,6.2,37.38,5113.487793,82.52100372,5.635999023
Brazil,BRA,2005,0.563162962,13554.8584,11305.77148,0.7,6.3,39.04,5559.931152,82.83399963,5.848337891
Brazil,BRA,2006,0.556473171,13751.8457,11766.60547,0.702,6.4,41.16,5812.022461,83.14299774,5.919614258
Brazil,BRA,2007,0.549277443,14445.35352,12500.00684,0.705,6.5,38.83,5833.439941,83.44799805,6.410880371
Brazil,BRA,2008,0.5404328,14902.91797,13164.01172,0.716,6.7,42.21,6002.987793,83.74900055,6.462914063
Brazil,BRA,2009,0.536872336,14675.2627,13180.89063,0.718,6.8,39.98,6357.409668,84.04399872,6.795942383
Brazil,BRA,2011,0.529475926,16590.23242,14831,0.731,7.1,35.89,6714.114258,84.6309967,7.28478125
Brazil,BRA,2012,0.534398527,16756.18359,14985,0.736,7.3,40.26,6557.481445,84.92299652,7.048717285
Brazil,BRA,2013,0.526865403,17184.6582,15306,0.748,7.4,40.33,6372.383301,85.20899963,6.845783203
Brazil,BRA,2014,0.520331403,17439.01563,15258,0.752,7.4,33.78,7023.680664,85.49199677,6.775535645
Brazil,BRA,2015,0.519308287,16841.79492,15826,0.757,7.6,34.42,7518.902832,85.76999664,6.838362305
Brazil,BRA,2016,0.533428448,16332.56445,13873,0.758,7.8,40.79,7711.872559,86.04199982,7.110986328
Brazil,BRA,2017,0.5333405,16378.13574,13951.59961,0.759,7.8,36.35,7981.974609,86.30899811,7.088568359
Bulgaria,BGR,1992,0.30714308,28380.22852,7846.116211,0.691,9,2.71,80.01963806,67.05599976,0.703089233
Bulgaria,BGR,1994,0.243219703,29785.18359,8212.296875,0.691,9.2,-0.07,81.69894409,67.55699921,0.512206665
Bulgaria,BGR,1995,0.32772338,32420.38281,8566.602539,0.696,9.3,-0.16,75.11840057,67.78199768,0.816592041
Bulgaria,BGR,1997,0.263782426,31233.53125,7927.429199,0.704,9.4,-3.55,45.99037552,68.23100281,0.991688171
Bulgaria,BGR,2001,0.326821614,28335.22266,8832.291016,0.722,9.9,-6.93,47.85862732,69.16600037,0.64344104
Bulgaria,BGR,2003,0.289179044,29162.54688,10080.7832,0.738,10.1,-5.49,48.39173508,69.8789978,1.125593384
Bulgaria,BGR,2006,0.357025734,31853.125,12706.18164,0.756,10.4,-7.74,82.484375,70.93199921,1.587695068
Bulgaria,BGR,2007,0.281363414,31052.92773,13785.22754,0.764,10.5,-4.47,83.07600403,71.27799988,1.090119385
Bulgaria,BGR,2008,0.335731274,30765.21875,14761.71484,0.771,10.5,-5.34,83.88587189,71.62200165,1.107045898
Bulgaria,BGR,2009,0.338231988,27105.86328,14363.25879,0.774,10.6,-5.07,84.22280121,71.96299744,1.389775513
Bulgaria,BGR,2010,0.356535721,28434.56641,14686.46094,0.779,10.6,-8.45,84.77106476,72.30200195,2.16560376
Bulgaria,BGR,2011,0.342786077,30401.60938,15112,0.782,10.7,-10.66,85.30366516,72.63800049,1.474467896
Bulgaria,BGR,2012,0.360139231,29048.72266,15204,0.786,10.8,-8.31,86.05807495,72.97499847,1.995635864
Bulgaria,BGR,2013,0.365736454,27069.13867,15420,0.792,10.9,-6.18,86.3399353,73.31300354,2.596720947
Bulgaria,BGR,2014,0.374185684,29087.01758,15711,0.797,10.9,-9.46,86.86953735,73.65100098,2.776006592
Bulgaria,BGR,2015,0.385673472,31124.16992,16373,0.807,11.8,-10.58,87.42345428,73.98999786,3.297616455
Bulgaria,BGR,2016,0.405910637,29674.83398,17037,0.81,11.8,-6.37,88.24875641,74.32900238,2.685540039
Canada,CAN,2000,0.333439091,119244.2891,36942.5625,0.867,11,-35.83,47558.85938,79.47799683,35.49642188
Canada,CAN,2004,0.337435608,118435,39491.57031,0.887,12,-10.53,53061.89063,80.04499817,31.77365039
Canada,CAN,2007,0.338410079,118914.9063,41806.86328,0.897,12.4,-30.95,54977.98438,80.39600372,32.93266797
Canada,CAN,2010,0.335926034,109963.6719,41209.42578,0.902,12.6,-25.7,54707.59766,80.93699646,30.55855859
Canada,CAN,2012,0.335390108,111948.5,42445,0.908,12.8,-46.98,60915.05859,81.13700104,32.4392207
Canada,CAN,2013,0.337989822,113450.5938,42994,0.911,12.9,-50.88,64386.32031,81.1780014,32.83467578
Canada,CAN,2014,0.33157606,112576.5938,43607,0.918,13,-47.33,68407.45313,81.21800232,31.68778711
Canada,CAN,2015,0.337464825,112164.8594,43619,0.92,13.1,-62.18,69752.375,81.25900269,32.26326367
Canada,CAN,2016,0.327018237,109537.2656,43745,0.922,13.1,-63.8,69954.95313,81.30000305,32.48064844
Canada,CAN,2017,0.333082063,110257.7578,44591.64063,0.926,13.3,-62.15,74919.10938,81.34999847,32.71748633
Chile,CHL,2000,0.52772009,20250.14648,15211.62305,0.759,8.8,1.19,392.2396545,86.07299805,3.963642578
Chile,CHL,2003,0.51489868,20346.80664,15809.17773,0.774,9.4,1.7,384.835083,86.66500092,4.478496582
Chile,CHL,2006,0.472948164,22996.17383,17920.80273,0.788,9.5,2.29,260.1882629,86.84200287,5.189468262
Chile,CHL,2009,0.46991219,22126.14258,18184.48047,0.804,9.9,1.35,240.2570038,87.01699829,4.818505371
Chile,CHL,2011,0.460483497,23633.05273,19705,0.814,9.8,0.73,379.7875061,87.13200378,4.136333984
Chile,CHL,2013,0.458311061,24012.47656,21135,0.828,9.9,0,335.223877,87.2460022,4.426079102
Chile,CHL,2015,0.443713277,23565.69336,21589,0.84,10.3,0,240.3343353,87.36000061,5.049579102
China,CHN,2002,0.419857242,10387.78223,5343.112305,0.611,6.6,-8.4,1484.413818,38.42499924,0.652403564
China,CHN,2005,0.409007668,15800.6748,6626.591797,0.647,6.9,-6.18,1584.890137,42.52199936,0.877645508
China,CHN,2008,0.429650385,19222.50781,8190.112305,0.685,7,-12.8,1636.275391,46.53900146,1.397220093
China,CHN,2010,0.437449533,21225.85742,9658.418945,0.706,7.3,-13.51,1724.893677,49.22600174,1.616560791
China,CHN,2011,0.424092243,22763.25977,10221,0.714,7.4,-12.74,1714.090942,50.51100159,1.612595947
China,CHN,2012,0.422371658,23566.10938,10680,0.722,7.5,-10.78,1743.214966,51.76499939,2.008444458
China,CHN,2013,0.397363984,24318.01953,11328,0.729,7.5,-11.23,1754.332642,53.01300049,2.178753662
China,CHN,2014,0.391776523,24892.54883,11944,0.738,7.6,-11.41,1757.056152,54.25899887,2.538375488
China,CHN,2015,0.385953024,25079.48438,12244,0.743,7.7,-12.44,1773.704712,55.5,2.705448975
China,CHN,2016,0.384805186,25371.35352,12569,0.748,7.8,-12.72,1642.330688,56.73600006,2.925557373
China,CHN,2017,0.390757759,26116.52148,12733.93164,0.752,7.8,-13.05,1567.333496,57.95999908,3.170237305
Colombia,COL,2000,0.58682893,7915.139648,8496.791992,0.653,6.5,0.06,10647.81836,73.95700073,2.339403809
Colombia,COL,2001,0.574830396,7672.096191,8528.033203,0.656,6.5,-0.17,9190.648438,74.3789978,2.348005371
Colombia,COL,2002,0.560189005,7537.717773,8630.541992,0.658,6.5,-0.61,8661.748047,74.79699707,2.464272705
Colombia,COL,2003,0.535864778,7689.975098,8855.217773,0.657,6.5,-1.11,7988.354492,75.21099854,2.567615967
Colombia,COL,2004,0.549810497,7722.381348,9211.279297,0.671,6.6,-1.63,7711.981934,75.62000275,2.664642578
Colombia,COL,2005,0.539133393,7642.45459,9524.722656,0.683,6.8,-1.74,7557.231934,76.02400208,2.678949707
Colombia,COL,2008,0.553232461,8925.827148,10846.7373,0.71,7.3,-1.4,8156.246582,77.20400238,3.02955127
Colombia,COL,2009,0.542964151,8651.745117,10894.10254,0.715,7.3,-1.06,9179.338867,77.58699799,2.714722412
Colombia,COL,2010,0.546254766,8998.808594,11191.68652,0.719,7.4,-0.79,10644.63086,77.96399689,2.707924561
Colombia,COL,2011,0.534902914,9216.000977,11788,0.725,7.5,-1.53,12277.89844,78.33499908,3.180965332
Colombia,COL,2012,0.526454824,9762.677734,12123,0.725,7.6,-0.71,12585.84082,78.7009964,3.099272705
Colombia,COL,2013,0.526326364,9729.257813,12568,0.735,7.8,-1.35,13304.38086,79.06099701,2.858952881
Colombia,COL,2014,0.52551015,10114.83887,12972,0.738,8,-0.8,12916.39844,79.41500092,2.869042236
Colombia,COL,2015,0.509904209,10109.52734,13218,0.742,8.1,-0.41,12961.9707,79.76399994,2.832853271
Colombia,COL,2016,0.505706771,10472.01367,13326,0.747,8.3,0.33,11295.08105,80.10800171,2.90167041
Colombia,COL,2017,0.497154848,10425.19043,13358.03223,0.747,8.3,0.07,10695.99707,80.44599915,3.422491455
Croatia,HRV,1998,0.287483605,21977.38477,12476.04688,0.731,8.6,2.79,5048.925781,52.9679985,3.967794922
Croatia,HRV,1999,0.277069422,22908.73047,12579.87695,0.739,9,1.62,4187.026367,53.19800186,4.863124023
Croatia,HRV,2000,0.313256437,21804.08398,13244.54102,0.75,9.4,3.42,4056.698242,53.4280014,4.309919922
Croatia,HRV,2001,0.311021619,23029.95313,13817.68066,0.759,9.8,2.52,3840.463867,53.64199829,4.785822266
Croatia,HRV,2004,0.296774046,25215.63086,16628.57422,0.778,9.7,3,3420.032715,54.14699936,5.017678711
Croatia,HRV,2008,0.337087724,24782.03516,20717.31641,0.803,10.3,6.01,2499.23584,54.81900024,3.773431396
Croatia,HRV,2009,0.331833481,24533.36719,19501.58789,0.802,10.6,5,2773.829834,54.98699951,4.819304688
Croatia,HRV,2010,0.273541012,25013.61133,19511.34961,0.808,10.8,3.97,2638.557373,55.15499878,5.965839844
Croatia,HRV,2011,0.322574343,21899.20703,19813,0.815,11,7.15,2399.256836,55.3219986,3.388380127
Croatia,HRV,2012,0.324751504,20390.49023,19441,0.816,11,7.43,2156.767822,55.50600052,3.368440186
Croatia,HRV,2013,0.319954852,22464.3418,19298,0.821,11,3.87,2184.466797,55.70600128,5.924669434
Croatia,HRV,2014,0.321071489,22561.78516,19284,0.824,11.1,3.95,2122.235352,55.92300034,6.34470752
Croatia,HRV,2015,0.311153148,21503.58594,19698,0.827,11.2,6.79,2049.165039,56.15499878,4.809266113
Croatia,HRV,2016,0.308997256,22509.13281,20376,0.828,11.3,5.53,2128.405518,56.40299988,5.372979004
Cyprus,CYP,2004,0.300894008,30906.625,25355.24023,0.828,10.5,0,0,68.41000366,0.002152591
Cyprus,CYP,2005,0.302594562,34051.03516,26164.20898,0.831,10.7,0,0,68.26799774,0.002565166
Cyprus,CYP,2006,0.311259618,32914.07813,27142.01758,0.837,10.9,0,0,68.125,0.004176598
Cyprus,CYP,2007,0.311132723,32891.17188,28109.99609,0.846,11.2,0,0,67.98200226,0.009745783
Cyprus,CYP,2008,0.317086618,33151.21094,28736.97461,0.852,11.3,0,0,67.83899689,0.044123951
Cyprus,CYP,2009,0.321088469,31876.79883,27735.0332,0.856,11.3,0,0,67.69499969,0.089565186
Cyprus,CYP,2010,0.314579286,30608.94727,27630.10352,0.85,11.5,0,0,67.5510025,0.19520369
Cyprus,CYP,2011,0.326255244,29982.24609,27272,0.853,11.6,0,0,67.40599823,0.456586395
Cyprus,CYP,2012,0.343124334,27844.6582,26011,0.852,11.8,0,0,67.26100159,0.640670776
Cyprus,CYP,2013,0.370419929,24721.82422,24519,0.853,12,0,0,67.13700104,0.799118225
Cyprus,CYP,2014,0.35565653,24554.77734,24411,0.856,11.9,0,0,67.03099823,0.768803528
Cyprus,CYP,2015,0.33966378,25137.64063,24963,0.86,11.9,0,0,66.94599915,0.949278198
Cyprus,CYP,2016,0.328917954,27121.20703,25577,0.867,12.1,0,0,66.8809967,0.994393005
Czechia,CZE,1993,0.266047934,46253.01172,12974.19727,0.735,8.9,-2.1,134.8114166,74.90100098,0.458899109
Czechia,CZE,1996,0.257990097,48590.07422,15386.32031,0.768,9.6,0,275.3987427,74.51300049,0.652583435
Czechia,CZE,2002,0.265550951,47474.90234,18431.02734,0.813,11.1,-11.39,346.7024536,73.80899811,0.86374585
Czechia,CZE,2004,0.2753318,51506.8125,20555.03516,0.825,11.6,-15.72,395.8886719,73.67099762,0.752120117
Czechia,CZE,2005,0.269460429,50629.49609,22128.58008,0.835,11.9,-12.63,399.7838745,73.60199738,0.872021301
Czechia,CZE,2006,0.267441556,51408.69922,23888.16406,0.843,12.1,-12.63,344.0808411,73.53299713,1.001234436
Czechia,CZE,2007,0.259986894,50557.53906,25382.80664,0.85,12.2,-16.15,321.0154419,73.46299744,0.968227112
Czechia,CZE,2008,0.262802722,49269.00391,26186.04492,0.854,12.2,-11.47,314.3861389,73.39399719,1.061065674
Czechia,CZE,2009,0.261566746,46991.51172,25093.86328,0.857,12.3,-13.64,269.5951538,73.3239975,1.314023071
Czechia,CZE,2010,0.266235138,48744.48438,25922.39453,0.862,12.4,-14.95,226.6969452,73.25499725,1.635604736
Czechia,CZE,2011,0.263813431,47534.74609,26725,0.865,12.5,-17.04,194.1541595,73.18499756,2.031008179
Czechia,CZE,2012,0.261100175,47230.23047,26474,0.865,12.4,-17.12,189.0615234,73.1969986,2.263584961
Czechia,CZE,2013,0.264739033,46326.92188,26338,0.874,12.6,-16.89,188.451889,73.29000092,2.596220459
Czechia,CZE,2014,0.259232209,45313.10156,27024,0.879,12.8,-16.3,188.3704834,73.38400269,2.55812207
Czechia,CZE,2015,0.25867433,44400.20313,28194,0.882,12.7,-12.51,177.8760681,73.47699738,2.619253662
Czechia,CZE,2016,0.254063329,43724.47266,28823,0.885,12.7,-10.97,146.5276489,73.56999969,2.599756348
Denmark,DNK,1992,0.246938104,42179.30859,30573.57422,0.809,9.3,3.75,17252.38672,84.89800262,0.860822205
Denmark,DNK,1995,0.229558964,46557.08594,33356.14063,0.831,9.9,-0.79,20145.45703,84.97899628,1.077015137
Denmark,DNK,2000,0.237663197,44282.13672,39021.17578,0.863,10.7,0.66,38623.125,85.09999847,3.142116211
Denmark,DNK,2003,0.256316711,47379.63281,39983.14453,0.894,12.8,-8.55,38716.32813,85.36000061,4.48344043
Denmark,DNK,2004,0.249127965,44727.51172,41178.5625,0.898,12.8,-2.87,41023.09375,85.56600189,5.246144043
Denmark,DNK,2005,0.251868891,43039.08203,42264.62891,0.903,12.8,1.37,39720.14453,85.85600281,5.375083008
Denmark,DNK,2006,0.25913077,47175.1875,44025.48438,0.905,12.8,-6.93,35970.44141,86.09799957,5.005683105
Denmark,DNK,2007,0.26184259,44556.43359,44481.46875,0.904,12.5,-0.95,32251.60742,86.29299927,5.535040527
Denmark,DNK,2008,0.252465008,42672.13281,44246.39844,0.909,12.9,1.45,29690.88281,86.48699951,5.379078125
Denmark,DNK,2009,0.267015601,39955.89453,42090.17188,0.906,12.7,0.33,27153.55078,86.65399933,5.325469727
Denmark,DNK,2010,0.271985592,41885.33203,42932.39844,0.91,12.7,-1.14,25451.81445,86.79499817,6.555504395
Denmark,DNK,2011,0.273117461,39400.79688,43575,0.922,12.7,1.32,22790.58984,86.95700073,7.346944824
Denmark,DNK,2012,0.277907505,36340.11719,43510,0.924,12.8,5.21,20686.00586,87.14199829,7.607458984
Denmark,DNK,2013,0.285437629,37775.44922,43733,0.931,13.2,1.08,17910.51367,87.29199982,8.07573877
Denmark,DNK,2014,0.283528792,36420.47656,44241,0.928,12.8,2.85,16693.73828,87.41000366,8.971712891
Denmark,DNK,2015,0.281774465,35042.19141,44635,0.926,12.5,5.91,15721.09473,87.52600098,9.342229492
Denmark,DNK,2016,0.281874407,35222.25391,44836,0.928,12.6,5.06,14100.08594,87.64199829,9.056866211
Denmark,DNK,2017,0.287466614,35308.00391,45455.55469,0.929,12.6,4.56,13668.37793,87.75700378,10.6987207
Ecuador,ECU,2000,0.563785176,8211.325195,6908.243164,0.67,7,0.02,19802.67969,60.29899979,1.774789917
Ecuador,ECU,2003,0.535286921,7973.821289,7468.503418,0.682,7.1,1.05,19543.34961,61.31600189,1.557561768
Ecuador,ECU,2004,0.539319908,8388.692383,7958.920898,0.688,7.2,1.61,24235.0625,61.51399994,1.571613525
Ecuador,ECU,2005,0.530584801,8731.824219,8256.777344,0.693,7.3,1.71,24038.25977,61.71099854,1.449186279
Ecuador,ECU,2006,0.522514048,9081.885742,8521.55957,0.696,7.3,1.57,23802.10352,61.9070015,1.475952759
Ecuador,ECU,2007,0.533634508,9390.552734,8633.583984,0.698,7.3,0.82,22335.02344,62.10400009,1.836536133
Ecuador,ECU,2008,0.497934696,9857.433594,9103.87207,0.711,7.9,0.46,21753.79102,62.29999924,2.22950708
Ecuador,ECU,2009,0.485059901,9462.651367,9081.370117,0.712,7.9,1.1,20556.92188,62.49499893,1.791208374
Ecuador,ECU,2010,0.488044339,10338.62207,9327.212891,0.715,7.9,0.86,20233.6543,62.68999863,1.647612671
Ecuador,ECU,2011,0.458774819,10800.67871,9985,0.721,8,1.28,20453.57422,62.85100174,2.07360498
Ecuador,ECU,2012,0.461219409,11240.29395,10398,0.726,8.1,0.23,20366.35938,62.98799896,2.230083984
Ecuador,ECU,2013,0.468649031,11428.26465,10760,0.734,8.3,0.63,20911.29102,63.125,1.985942383
Ecuador,ECU,2014,0.449950496,11820.78418,11036,0.742,8.5,0.79,21748.14063,63.26100159,2.042175415
Ecuador,ECU,2015,0.459542949,11599.17871,10905,0.743,8.4,0.47,20881.60938,63.39799881,2.278105713
Ecuador,ECU,2016,0.450200688,11363.92773,10527,0.749,8.7,-0.32,20785.22266,63.5340004,2.685071777
Ecuador,ECU,2017,0.446730295,11591.43945,10637.27734,0.752,8.7,-0.19,19730.81445,63.66999817,3.284533691
Egypt,EGY,2004,0.318475454,9195.561523,7661.859863,0.628,5.4,-0.7,5462.930176,42.98099899,0.518137085
Egypt,EGY,2008,0.311024361,10445.49316,9698.016602,0.658,6.2,-0.9,5060.901367,43.05799866,0.565543701
